,BEARING,mean_ted,std_ted,freq_ted,island
44,70,0.315394427,0.447140693,16679,AGR
45,80,0.276256835,0.390926461,16343,AGR
46,90,0.239182829,0.334693206,15645,AGR
47,100,0.209006876,0.299567903,15498,AGR
48,110,0.197437499,0.275452416,15279,AGR
49,120,0.220939176,0.276081666,14564,AGR
50,130,0.266368532,0.292316562,14283,AGR
51,140,0.309385656,0.325472906,13948,AGR
52,150,0.346339284,0.335390064,12827,AGR
53,160,0.385886119,0.323563354,11745,AGR
54,170,0.529698201,0.730169511,11259,AGR
55,180,1.193665151,2.00535078,11709,AGR
56,190,1.855651672,2.492606938,12695,AGR
57,200,2.085289633,2.666381684,12561,AGR
58,210,2.173043532,2.631762031,12640,AGR
59,220,2.219862741,2.589668584,12383,AGR
60,230,2.085668619,2.351059669,12195,AGR
61,240,1.83168186,1.952105374,12245,AGR
62,250,1.504489706,1.634907127,12442,AGR
63,260,1.269747526,1.404036118,12837,AGR
64,270,1.108570985,1.282979199,13988,AGR
65,280,1.067835215,1.241646727,16430,AGR
66,290,0.970436393,1.19062383,22393,AGR
67,300,0.772352669,1.090486298,29786,AGR
68,310,0.575910712,0.956327306,35849,AGR
69,320,0.418543627,0.831144616,39794,AGR
70,330,0.352989783,0.806667407,37970,AGR
71,340,0.277937046,0.592403307,33259,AGR
72,350,0.254617637,0.450867307,31626,AGR
73,0,0.283801906,0.483767745,29593,AGR
74,10,0.355841592,0.538628748,25983,AGR
75,20,0.388763301,0.56361147,23042,AGR
76,30,0.397287187,0.571838606,21277,AGR
77,40,0.405080002,0.568988387,19476,AGR
78,50,0.383421166,0.538730359,18539,AGR
79,60,0.353891821,0.499977667,17619,AGR
80,70,0.315394427,0.447140693,16679,AGR
81,80,0.276256835,0.390926461,16343,AGR
82,90,0.239182829,0.334693206,15645,AGR
83,100,0.209006876,0.299567903,15498,AGR
84,110,0.197437499,0.275452416,15279,AGR
85,120,0.220939176,0.276081666,14564,AGR
86,130,0.266368532,0.292316562,14283,AGR
87,140,0.309385656,0.325472906,13948,AGR
88,150,0.346339284,0.335390064,12827,AGR
89,160,0.385886119,0.323563354,11745,AGR
90,170,0.529698201,0.730169511,11259,AGR
91,180,1.193665151,2.00535078,11709,AGR
92,190,1.855651672,2.492606938,12695,AGR
93,200,2.085289633,2.666381684,12561,AGR
94,210,2.173043532,2.631762031,12640,AGR
95,220,2.219862741,2.589668584,12383,AGR
96,230,2.085668619,2.351059669,12195,AGR
97,240,1.83168186,1.952105374,12245,AGR
98,250,1.504489706,1.634907127,12442,AGR
99,260,1.269747526,1.404036118,12837,AGR
100,270,1.108570985,1.282979199,13988,AGR
101,280,1.067835215,1.241646727,16430,AGR
102,290,0.970436393,1.19062383,22393,AGR
103,300,0.772352669,1.090486298,29786,AGR
104,310,0.575910712,0.956327306,35849,AGR
105,320,0.418543627,0.831144616,39794,AGR
106,330,0.352989783,0.806667407,37970,AGR
107,340,0.277937046,0.592403307,33259,AGR
108,350,0.254617637,0.450867307,31626,AGR
109,0,0.005007474,0.016197817,1311910,HAW
110,10,0.005506743,0.016396052,1028733,HAW
111,20,0.007278631,0.021576404,823235,HAW
112,30,0.011264449,0.033565775,800638,HAW
113,40,0.018463104,0.053515481,765657,HAW
114,50,0.045847732,0.10947991,649179,HAW
115,60,0.150532524,0.306494874,624877,HAW
116,70,0.316155708,0.540588867,585498,HAW
