"OBS_YEAR","REGION","ISLAND","SECTOR","REEF_ZONE","SITEVISITID","PISCIVORE","PLANKTIVORE","PRIMARY","SECONDARY","PLANK_rel","region","region.col"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1963,0.457873144984359,0.0620968581877963,0.880437001251646,0.450389778448403,0.0335514189145227,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1964,0.242141631502523,0.307024702822667,1.25452695704575,0.251174544181196,0.149413357643106,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1965,0.649309898478783,0.276439239908153,1.08779458483756,0.595606495085821,0.105949913488375,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1966,1.41805108058018,0.331844333578003,1.60162001222183,0.995573388499483,0.0763371414087848,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1967,0.617284707967644,0.55575110298752,1.27629212358199,1.44215003731262,0.142812347135901,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1968,0.257113590379966,0.287024761000384,1.75838425603914,0.68173145721213,0.0961797336232546,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1969,0.184807049921692,1.02935660941159,2.27767929661858,0.492004379229783,0.258382544009975,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1970,0.148303174241271,0.280583833373421,1.31247932652575,0.508093660522075,0.124733862366606,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1971,0.980805664013387,1.37159936775455,2.55645448871475,1.20841135631244,0.224217530231903,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1972,0.136673345946022,0.489039668556664,0.485675026038855,0.224290950020495,0.366135629902274,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1973,0.612854899389843,0.386653450480974,0.981656979265154,0.368347421392617,0.164567504642818,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1974,0.217058168628255,0.112791225589764,1.72676627788516,0.321973302383941,0.0474193846854454,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1975,0.188838205203938,0.0787412834089258,1.74448899975434,0.818457365310539,0.0278186059691404,"Mariana","#01A74F"
2009,"MARIAN","Agrihan","Agrihan","Forereef",1976,2.16774252006252,5.52229635637452,0.867435025753153,1.1874721020726,0.566683114915041,"Mariana","#01A74F"
2009,"MARIAN","Aguijan","Aguijan","Forereef",1849,0.114839003282763,0.185228833837608,0.659531128756371,0.489277065374701,0.127843121041639,"Mariana","#01A74F"
2009,"MARIAN","Aguijan","Aguijan","Forereef",1850,0.118346752464441,0.201678647566811,1.55778082082388,0.11910436246335,0.100995332115302,"Mariana","#01A74F"
2009,"MARIAN","Aguijan","Aguijan","Forereef",1851,0.431929846557015,1.20657244705282,0.711352840263128,0.225334613689452,0.468537298346625,"Mariana","#01A74F"
2009,"MARIAN","Aguijan","Aguijan","Forereef",1852,0.355652031273982,0.0245826649097159,1.00604568692592,0.279470561606814,0.0147577073197462,"Mariana","#01A74F"
2009,"MARIAN","Aguijan","Aguijan","Forereef",1853,0.055648503085454,0.163040816014331,0.733160380616271,0.426873325171665,0.118254945388766,"Mariana","#01A74F"
2009,"MARIAN","Aguijan","Aguijan","Forereef",1854,0.270933710177923,0.225870967218534,0.478179064841798,0.194743837816885,0.193097068984119,"Mariana","#01A74F"
2009,"MARIAN","Alamagan","Alamagan","Forereef",1977,0.421907532786055,0.37339483822859,1.55662209370529,0.575200213178037,0.127563694518381,"Mariana","#01A74F"
2009,"MARIAN","Alamagan","Alamagan","Forereef",1978,3.00271737681344,4.74825862437715,2.62614024857028,7.44532251206637,0.266420251898811,"Mariana","#01A74F"
2009,"MARIAN","Alamagan","Alamagan","Forereef",1979,1.51798290648623,3.33110802623227,1.52280678579139,0.892515178054256,0.458551582029126,"Mariana","#01A74F"
2009,"MARIAN","Alamagan","Alamagan","Forereef",1980,0.399601301460507,0.408817692490431,1.56011002244831,0.575066351666089,0.138883793922778,"Mariana","#01A74F"
2009,"MARIAN","Alamagan","Alamagan","Forereef",1981,0.765049426692397,0.132621884484391,1.21607671620467,0.824010760619845,0.0451438984800451,"Mariana","#01A74F"
2009,"MARIAN","Alamagan","Alamagan","Forereef",1982,2.62345714235192,6.82403402993714,0.567631600022062,1.03123185856287,0.617763439430444,"Mariana","#01A74F"
2009,"MARIAN","Asuncion","Asuncion","Forereef",1922,0.640462665001812,0.26319823453568,1.28280341881045,0.677361613080102,0.0919044106861748,"Mariana","#01A74F"
2009,"MARIAN","Asuncion","Asuncion","Forereef",1923,1.33699670599106,1.61802485913481,2.34274748073987,0.676348901816588,0.270839121909624,"Mariana","#01A74F"
2009,"MARIAN","Asuncion","Asuncion","Forereef",1924,0.393909451148955,1.38164356275186,0.851436716063771,0.337440498899335,0.466073901587947,"Mariana","#01A74F"
2009,"MARIAN","Asuncion","Asuncion","Forereef",1925,0.962027819146896,4.54180304652876,0.828263050880773,0.437775203523445,0.670884911653237,"Mariana","#01A74F"
2009,"MARIAN","Asuncion","Asuncion","Forereef",1926,0.685242274163886,0.225143594760468,4.3707216760585,0.39315133229999,0.0396780618631696,"Mariana","#01A74F"
2009,"MARIAN","Asuncion","Asuncion","Forereef",1927,1.06110193229793,0.0452342567963397,1.45708150343841,0.290472202709821,0.0158500357255359,"Mariana","#01A74F"
