"REGION","ISLAND","OBS_YEAR","PISCIVORE","PLANKTIVORE","PRIMARY","SECONDARY","PLANK_rel"
"MARIAN","Agrihan",2009,0.591346934378599,0.792231628102496,1.41512073968098,0.681834016998867,0.170300149209796
"MARIAN","Agrihan",2011,0.817982648207872,1.2147653523348,1.49230679925884,0.766056783101674,0.222171460759584
"MARIAN","Agrihan",2017,1.09966430057344,0.71325994448224,1.62692307205815,0.81892379809431,0.151684107101749
"MARIAN","Aguijan",2009,0.22455830780693,0.334495729433303,0.857674987037896,0.289133961020478,0.170580912199366
"MARIAN","Aguijan",2011,0.295071836488028,0.441082369592103,1.03496869017654,0.546458425960702,0.184839217531406
"MARIAN","Aguijan",2014,0.195413734603352,0.662095153128721,0.850804400501073,0.462235192870139,0.310406998080288
"MARIAN","Aguijan",2017,0.261389706827092,0.394342882957189,0.701733857832564,0.456635853369286,0.217596365733284
"MARIAN","Aguijan",2022,0.39131839549589,0.543041633897183,0.850380204227907,0.508507301288119,0.190407981349168
"MARIAN","Alamagan",2009,1.45511928109843,2.63637251595833,1.508231244457,1.89055781235791,0.275721110046598
"MARIAN","Alamagan",2011,0.706868408235796,1.90343022599672,1.1936805239363,1.11812438178639,0.315714819006541
"MARIAN","Alamagan",2014,0.619200126200805,1.77998948236149,1.80389925160977,1.01648361239126,0.237819489591482
"MARIAN","Alamagan",2017,0.482590484870717,0.729852510233188,0.867255902556917,0.591098719019363,0.224614876439048
"MARIAN","Asuncion",2009,1.03451597273388,1.0970260352294,1.8291845847067,0.617816541193878,0.217278681469025
"MARIAN","Asuncion",2011,0.727190249511258,1.04161644315661,1.24742746502557,0.664989200704411,0.223097180731131
"MARIAN","Asuncion",2014,0.768484934148004,1.95148097769667,1.33444471671832,0.713534568022143,0.318100685337983
"MARIAN","Asuncion",2017,0.762033386159973,1.50984182426739,1.38465965171545,0.741686687984835,0.271579258523602
"MARIAN","Asuncion",2022,0.8730696904563,2.45659407437159,1.1421615907371,0.823161596472495,0.384474084170288
"MARIAN","Farallon de Pajaros",2009,0.847713171219349,0.3944387283368,0.682222822221175,0.416636268290945,0.140106608206663
