Island database,,,,,,,,,
Notes: both Iarea and Rarea are the sum of all islands/reefs represented by each island (i.e. combined within the same set of connected shallow MODIS pixels).,,,,,,,,,
Lon/lat are always within the island contour line and may differ from lon/lat from the Nunn database where positions can be over the ocean (e.g. center of atolls).,,,,,,,,,
Ref Nunn database: Nunn et al. (2016). Classifying Pacific islands. Geoscience Letters 3(1) https://doi.org/10.1186/s40562-016-0041-8,,,,,,,,,
Reference: Messié et al. (2022). Basin-scale biogeochemical and ecological impacts of islands in the tropical Pacific Ocean. Nature Geoscience https://doi.org/10.1038/s41561-022-00957-8.,,,,,,,,,
 ,,,,,,,,,
Island number,Island name,Longitude,Latitude,Island (1) or reef (0),Island area obtained either from the Nunn database or from the island contour (km2),Island reef area calculated from GEBCO (< 500 m resolution) as the area of pixels above 30 m depth (including emerged lands km2(,Belongs to Nunn database,Nunn database longitude,Nunn database latitude
1,New Britain,150.73,-5.77,1,44767,48967.2,1,150.73,-5.77
2,New Caledonia (La Grande Terre),165.54,-21.43,1,19507.7,30521.4,1,165.54,-21.43
3,Viti Levu & Senia,178.01,-17.81,1,26405.9,33704.7,1,178.01,-17.81
4,Hawai’i,204.42,19.9,1,11822.8,11822.8,1,204.42,19.9
5,Bougainville,155.31,-6.22,1,23749.2,32252.6,1,155.31,-6.22
6,Isabela (Albemarle),268.86,-0.83,1,7023.4,7955.1,1,268.86,-0.83
7,Espiritu Santo,166.94,-15.39,1,10750.1,11582.6,1,166.94,-15.39
8,Malaita,161,-9.06,1,4566.5,5195,1,161,-9.06
9,San Cristobal (Makira) & Oroa (Philip),161.77,-10.55,1,3572.2,3975.8,1,161.77,-10.55
10,island71,135.79,-0.88,1,2638.6,4038.2,0,NaN,NaN
11,New Georgia & Mbalusu & Mbanga & Tambiko,157.59,-8.26,1,5300.8,6849.1,1,157.59,-8.26
12,Manus,146.95,-2.08,1,2137.9,3935.9,1,146.95,-2.08
13,Maui,203.67,20.8,1,3558,3558,1,203.67,20.8
14,Savai’i,187.4,-13.64,1,3047.1,3456.3,1,187.4,-13.64
15,O’ahu,202,21.44,1,1822.5,1970.2,1,202,21.44
16,Kaua’i,200.47,22.1,1,1690.5,1690.5,1,200.47,22.1
17,island101,127.95,26.49,1,1426.8,2900.8,0,NaN,NaN
18,Lifou,167.21,-20.97,1,2095.1,2097.3,1,167.21,-20.97
19,Tahiti,210.57,-17.65,1,1301.4,1347.7,1,210.57,-17.65
20,Erromango,169.14,-18.82,1,997.8,1166.9,1,169.14,-18.82
21,Woodlark (Muyua),152.78,-9.11,1,946.5,2064.1,1,152.78,-9.11
22,Tagula,153.44,-11.51,1,2183.6,40474.2,1,153.44,-11.51
23,island122,126.78,4.27,1,1011.4,1250.9,0,NaN,NaN
24,island126,129.43,28.32,1,915.1,1239.7,0,NaN,NaN
25,Rennell,160.2,-11.62,1,989.8,1070.9,1,160.2,-11.62
26,San Cristobal (Chatham),270.61,-0.8,1,558.8,700.4,1,270.61,-0.8
27,Tanna,169.34,-19.5,1,635.3,771.1,1,169.34,-19.5
28,Guam,144.78,13.46,1,588.8,619.4,1,144.78,13.46
29,Nend¸/Nendo,165.91,-10.73,1,577.2,831.1,1,165.91,-10.73
30,Kiritimati (Christmas),202.61,1.85,1,487.3,788.9,1,202.61,1.85
31,Kadavu,178.2,-19.01,1,554.7,1231.8,1,178.2,-19.01
32,Babeldaob,134.56,7.49,1,496.9,2334,1,134.56,7.49
33,Nuku Hiva,219.86,-8.86,1,369.8,403,1,219.86,-8.86
34,Pohnpei & Temwen,158.22,6.88,1,378,734.6,1,158.22,6.88
35,Mussau,149.61,-1.42,1,399.6,536.4,1,149.61,-1.42
36,Santa Maria (Gaua),167.51,-14.26,1,383.1,423.5,1,167.51,-14.26
37,Vanua Lava,167.47,-13.81,1,438.7,651.6,1,167.47,-13.81
38,Hiva Oa,220.98,-9.75,1,429.3,466.6,1,220.98,-9.75
