"island","month","cChl","Chl_max","Chl_IME","Chl_REF","Chl_increase_nearby","area_IME","has_IME","is_primaryIME","keep_IME","data","island_messie","region","region2","REGION","region.col","region.num"
"New Britain","1",0.165000006556511,0.389501452445984,0.192785024642944,0.144710078835487,1.69159865379333,14838.5224609375,1,1,1,"GlobColour","New Britain", , , , , 
"New Britain","2",0.203999996185303,0.401520222425461,0.244454950094223,0.168496787548065,1.38295483589172,5507.64306640625,1,1,1,"GlobColour","New Britain", , , , , 
"New Britain","3",0.190999999642372,0.383982986211777,0.218334496021271,0.159381896257401,1.40920078754425,5572.57470703125,1,1,1,"GlobColour","New Britain", , , , , 
"New Britain","4",0.178000003099442,0.342515647411346,0.200567990541458,0.153408959507942,1.23269653320312,5528.712890625,1,1,1,"GlobColour","New Britain", , , , , 
"New Britain","5",0.186000004410744,0.270015835762024,0.201572746038437,0.154144480824471,0.75170624256134,7628.109375,1,1,1,"GlobColour","New Britain", , , , , 
"New Britain","6",0.20100000500679,0.299546092748642,0.22020123898983,0.16261026263237,0.842110574245453,8870.6982421875,1,1,1,"GlobColour","New Britain", , , , , 
"New Britain","7",0.210999995470047,0.363398820161819,0.237505719065666,0.165263190865517,1.19890975952148,15877.6572265625,1,1,1,"GlobColour","New Britain", , , , , 
"New Britain","8",0.186000004410744,0.381304323673248,0.209095239639282,0.148555427789688,1.56674778461456,26158.7265625,1,1,1,"GlobColour","New Britain", , , , , 
"New Britain","9",0.156000003218651,0.283718913793564,0.173438131809235,0.131764858961105,1.15322136878967,28168.71484375,1,1,1,"GlobColour","New Britain", , , , , 
"New Britain","10",0.177000001072884,0.239485308527946,0.184415802359581,0.150082424283028,0.595691919326782,4264.2939453125,1,1,1,"GlobColour","New Britain", , , , , 
"New Britain","11",0.188999995589256,0.256423354148865,0.196554526686668,0.159956887364388,0.60307776927948,2784.44165039062,1,1,1,"GlobColour","New Britain", , , , , 
"New Britain","12",0.164000004529953,0.296746760606766,0.180987879633904,0.141343832015991,1.09946727752686,5421.09814453125,1,1,1,"GlobColour","New Britain", , , , , 
"New Caledonia (La Grande Terre)","1",0.0839999988675117,0.202909380197525,0.0913965702056885,0.0584273561835289,2.47284889221191,86357.828125,1,0,1,"GlobColour","New Caledonia (La Grande Terre)", , , , , 
"New Caledonia (La Grande Terre)","2",0.0949999988079071,0.219384431838989,0.108151368796825,0.0684054121375084,2.20712089538574,37635.65234375,1,0,1,"GlobColour","New Caledonia (La Grande Terre)", , , , , 
"New Caledonia (La Grande Terre)","3",0.104000002145767,0.244584977626801,0.118949986994267,0.0707921758294106,2.45497179031372,27852.17578125,1,0,1,"GlobColour","New Caledonia (La Grande Terre)", , , , , 
"New Caledonia (La Grande Terre)","4",0.109999999403954,0.264379411935806,0.125728756189346,0.0736908242106438,2.5876841545105,33080.92578125,1,0,1,"GlobColour","New Caledonia (La Grande Terre)", , , , , 
"New Caledonia (La Grande Terre)","5",0.120999999344349,0.288332879543304,0.133722081780434,0.109629698097706,1.63006174564362,40334.39453125,1,1,1,"GlobColour","New Caledonia (La Grande Terre)", , , , , 
"New Caledonia (La Grande Terre)","6",0.12899999320507,0.268427938222885,0.135603621602058,0.117287300527096,1.28863596916199,94738.6484375,1,1,1,"GlobColour","New Caledonia (La Grande Terre)", , , , , 
"New Caledonia (La Grande Terre)","7",0.143999993801117,0.23852726817131,0.153208181262016,0.135652497410774,0.758369922637939,13327.431640625,1,1,1,"GlobColour","New Caledonia (La Grande Terre)", , , , , 
"New Caledonia (La Grande Terre)","8",0.140000000596046,0.221745580434799,0.148467674851418,0.129445463418961,0.713042497634888,6941.3134765625,1,1,1,"GlobColour","New Caledonia (La Grande Terre)", , , , , 
"New Caledonia (La Grande Terre)","9",0.119000002741814,0.197110027074814,0.128282904624939,0.108019948005676,0.824755907058716,7991.2060546875,1,1,1,"GlobColour","New Caledonia (La Grande Terre)", , , , , 
"New Caledonia (La Grande Terre)","10",0.0949999988079071,0.185282334685326,0.102848894894123,0.0868670344352722,1.13294196128845,20122.517578125,1,1,1,"GlobColour","New Caledonia (La Grande Terre)", , , , , 
"New Caledonia (La Grande Terre)","11",0.0780000016093254,0.172269970178604,0.0833836868405342,0.0690620765089989,1.49442183971405,87159.046875,1,1,1,"GlobColour","New Caledonia (La Grande Terre)", , , , , 
"New Caledonia (La Grande Terre)","12",0.0759999975562096,0.179040431976318,0.084049679338932,0.0635472387075424,1.81743848323822,340552.40625,1,1,1,"GlobColour","New Caledonia (La Grande Terre)", , , , , 
"Viti Levu & Senia","1",0.061999998986721,0.274065971374512,0.0766322538256645,0.048801600933075,4.61592197418213,2263103.75,1,1,1,"GlobColour","Viti Levu & Senia", , , , , 
"Viti Levu & Senia","2",0.0719999969005585,0.261791467666626,0.0841962471604347,0.0523451752960682,4.0012526512146,1734803.625,1,1,1,"GlobColour","Viti Levu & Senia", , , , , 
"Viti Levu & Senia","3",0.0729999989271164,0.273226201534271,0.0855209156870842,0.0550470612943172,3.9635021686554,1814756.75,1,1,1,"GlobColour","Viti Levu & Senia", , , , , 
"Viti Levu & Senia","4",0.0759999975562096,0.310441672801971,0.0889761745929718,0.0580677650868893,4.34619617462158,1697382.625,1,1,1,"GlobColour","Viti Levu & Senia", , , , , 
"Viti Levu & Senia","5",0.0829999968409538,0.310877293348312,0.0954397469758987,0.0615407228469849,4.05157041549683,382609.90625,1,1,1,"GlobColour","Viti Levu & Senia", , , , , 
"Viti Levu & Senia","6",0.0890000015497208,0.278910219669342,0.100364416837692,0.0625988095998764,3.45551943778992,399193.4375,1,1,1,"GlobColour","Viti Levu & Senia", , , , , 
"Viti Levu & Senia","7",0.096000000834465,0.237164556980133,0.103065215051174,0.0671031847596169,2.53432607650757,281739.25,1,1,1,"GlobColour","Viti Levu & Senia", , , , , 
"Viti Levu & Senia","8",0.0890000015497208,0.205039098858833,0.100075051188469,0.0693422257900238,1.95691561698914,51887.1875,1,1,1,"GlobColour","Viti Levu & Senia", , , , , 
"Viti Levu & Senia","9",0.0759999975562096,0.198202595114708,0.0855102762579918,0.0610452145338058,2.24681639671326,46214.36328125,1,1,1,"GlobColour","Viti Levu & Senia", , , , , 
"Viti Levu & Senia","10",0.068000003695488,0.193983659148216,0.0734705999493599,0.050958976149559,2.80666303634644,360025.4375,1,1,1,"GlobColour","Viti Levu & Senia", , , , , 
"Viti Levu & Senia","11",0.0599999986588955,0.182078212499619,0.0696014389395714,0.0469958148896694,2.87434935569763,687669.25,1,1,1,"GlobColour","Viti Levu & Senia", , , , , 
"Viti Levu & Senia","12",0.0640000030398369,0.25623819231987,0.0774335861206055,0.0478647612035275,4.3533787727356,710221.375,1,1,1,"GlobColour","Viti Levu & Senia", , , , , 
"Hawaii","1",0.0790000036358833,0.0931013226509094,0.0815480798482895,0.0678882300853729,0.371391266584396,1232.46081542969,1,1,1,"GlobColour","Hawai’i","Hawaii","Hawaiian islands","MHI","#F05826",2
"Hawaii","2",0.0740000009536743,0.0868882015347481,0.0767276361584663,0.0628825947642326,0.381752818822861,788.633850097656,1,1,1,"GlobColour","Hawai’i","Hawaii","Hawaiian islands","MHI","#F05826",2
"Hawaii","3",0.0670000016689301,0.0918363481760025,0.0711085200309753,0.0567527636885643,0.618182897567749,1355.02062988281,1,1,1,"GlobColour","Hawai’i","Hawaii","Hawaiian islands","MHI","#F05826",2
"Hawaii","4",0.063000001013279,0.0742228254675865,0.0649268329143524,0.054118987172842,0.371474802494049,647.032775878906,1,1,1,"GlobColour","Hawai’i","Hawaii","Hawaiian islands","MHI","#F05826",2
"Hawaii","5",0.0610000006854534,0.0742647796869278,0.063334047794342,0.0500879101455212,0.482688784599304,505.569274902344,1,0,1,"GlobColour","Hawai’i","Hawaii","Hawaiian islands","MHI","#F05826",2
"Hawaii","6",0.0610000006854534,0.069303385913372,0.0630499571561813,0.0502044148743153,0.380424171686172,626.9404296875,1,0,1,"GlobColour","Hawai’i","Hawaii","Hawaiian islands","MHI","#F05826",2
"Hawaii","7",0.0659999996423721,0.0737423151731491,0.0679650977253914,0.0541294701397419,0.362332135438919,242.736785888672,1,0,1,"GlobColour","Hawai’i","Hawaii","Hawaiian islands","MHI","#F05826",2
"Hawaii","8",0.0640000030398369,0.0793465226888657,0.0651292651891708,0.0528532713651657,0.50126039981842,4752.705078125,1,0,1,"GlobColour","Hawai’i","Hawaii","Hawaiian islands","MHI","#F05826",2
"Hawaii","9",0.0659999996423721,0.0826525241136551,0.0689964219927788,0.0540817864239216,0.528287649154663,688.038452148438,1,0,1,"GlobColour","Hawai’i","Hawaii","Hawaiian islands","MHI","#F05826",2
"Hawaii","10",0.0719999969005585,0.0852082222700119,0.0745586827397346,0.0590383149683475,0.44326987862587,444.961761474609,1,0,1,"GlobColour","Hawai’i","Hawaii","Hawaiian islands","MHI","#F05826",2
"Hawaii","11",0.0790000036358833,0.105621106922626,0.0831142440438271,0.0661498159170151,0.596695363521576,1940.52807617188,1,0,1,"GlobColour","Hawai’i","Hawaii","Hawaiian islands","MHI","#F05826",2
"Hawaii","12",0.0839999988675117,0.10897871106863,0.087688535451889,0.0729061514139175,0.494780719280243,1960.54528808594,1,1,1,"GlobColour","Hawai’i","Hawaii","Hawaiian islands","MHI","#F05826",2
"Bougainville","1",0.126000002026558,0.276582628488541,0.143858879804611,0.111599840223789,1.47834253311157,106021.7890625,1,1,1,"GlobColour","Bougainville", , , , , 
"Bougainville","2",0.131999999284744,0.312078237533569,0.149264082312584,0.11690778285265,1.6694393157959,86640.5546875,1,1,1,"GlobColour","Bougainville", , , , , 
"Bougainville","3",0.119000002741814,0.246125668287277,0.131534099578857,0.106713630259037,1.30641269683838,142244.015625,1,1,1,"GlobColour","Bougainville", , , , , 
"Bougainville","4",0.116999998688698,0.233839213848114,0.131655618548393,0.103070385754108,1.26873326301575,160573.5,1,1,1,"GlobColour","Bougainville", , , , , 
"Bougainville","5",0.119999997317791,0.243515029549599,0.135884374380112,0.096075065433979,1.53463304042816,202671.1875,1,1,1,"GlobColour","Bougainville", , , , , 
"Bougainville","6",0.123999997973442,0.280728191137314,0.144991084933281,0.091969758272171,2.05239677429199,328079.4375,1,1,1,"GlobColour","Bougainville", , , , , 
"Bougainville","7",0.141000002622604,0.363141685724258,0.164718434214592,0.0987224355340004,2.67841100692749,286429.5625,1,1,1,"GlobColour","Bougainville", , , , , 
"Bougainville","8",0.200000002980232,0.316222876310349,0.227458491921425,0.112343706190586,1.81478047370911,19995.052734375,1,0,1,"GlobColour","Bougainville", , , , , 
"Bougainville","9",0.116999998688698,0.259835094213486,0.134301528334618,0.0928590297698975,1.79816710948944,246550.046875,1,1,1,"GlobColour","Bougainville", , , , , 
"Bougainville","10",0.105999998748302,0.231210887432098,0.1231654509902,0.0847489908337593,1.72818446159363,149087.109375,1,1,1,"GlobColour","Bougainville", , , , , 
"Bougainville","11",0.112999998033047,0.249586060643196,0.133347943425179,0.0870192348957062,1.86817109584808,174399.75,1,1,1,"GlobColour","Bougainville", , , , , 
"Bougainville","12",0.123000003397465,0.267765194177628,0.142794996500015,0.0998305752873421,1.6821962594986,141778.375,1,1,1,"GlobColour","Bougainville", , , , , 
"Isabela (Albemarle)","1",0.279000014066696,1.19963669776917,0.358094722032547,0.23769024014473,4.04705905914307,80943.4609375,1,1,1,"GlobColour","Isabela (Albemarle)", , , , , 
"Isabela (Albemarle)","2",0.273000001907349,1.21248614788055,0.343416720628738,0.251572847366333,3.81962251663208,78035.796875,1,1,1,"GlobColour","Isabela (Albemarle)", , , , , 
"Isabela (Albemarle)","3",0.275000005960464,1.14310467243195,0.332086473703384,0.257052779197693,3.44696497917175,86620.4765625,1,1,1,"GlobColour","Isabela (Albemarle)", , , , , 
"Isabela (Albemarle)","4",0.272000014781952,1.15331280231476,0.326800912618637,0.25285929441452,3.56108498573303,39169.01171875,1,1,1,"GlobColour","Isabela (Albemarle)", , , , , 
"Isabela (Albemarle)","5",0.256000012159348,1.30102336406708,0.321801036596298,0.227204784750938,4.72621440887451,49974.4296875,1,1,1,"GlobColour","Isabela (Albemarle)", , , , , 
"Isabela (Albemarle)","6",0.261999994516373,1.33056533336639,0.331791579723358,0.234151244163513,4.68250370025635,66587.0859375,1,1,1,"GlobColour","Isabela (Albemarle)", , , , , 
"Isabela (Albemarle)","7",0.256999999284744,1.1982673406601,0.321088761091232,0.233882769942284,4.12336730957031,111154.484375,1,1,1,"GlobColour","Isabela (Albemarle)", , , , , 
"Isabela (Albemarle)","8",0.305000007152557,1.61529493331909,0.379792749881744,0.254642993211746,5.34337091445923,141592.484375,1,1,1,"GlobColour","Isabela (Albemarle)", , , , , 
"Isabela (Albemarle)","9",0.344999998807907,1.67113268375397,0.422894299030304,0.269967794418335,5.19011878967285,143431.703125,1,1,1,"GlobColour","Isabela (Albemarle)", , , , , 
"Isabela (Albemarle)","10",0.293999999761581,1.8115621805191,0.357089310884476,0.241762012243271,6.49316263198853,89066.578125,1,1,1,"GlobColour","Isabela (Albemarle)", , , , , 
"Isabela (Albemarle)","11",0.264999985694885,1.45457291603088,0.323903411626816,0.228577837347984,5.3635778427124,58643.63671875,1,1,1,"GlobColour","Isabela (Albemarle)", , , , , 
"Isabela (Albemarle)","12",0.261999994516373,1.30892848968506,0.311991453170776,0.22952227294445,4.70283842086792,82233.8984375,1,1,1,"GlobColour","Isabela (Albemarle)", , , , , 
"Espiritu Santo","1",0.0729999989271164,0.174443125724792,0.0831974521279335,0.0572971366345882,2.04453468322754,570461.625,1,0,1,"GlobColour","Espiritu Santo", , , , , 
"Espiritu Santo","2",0.0769999995827675,0.196855366230011,0.0870949029922485,0.0636728405952454,2.0916690826416,773137.0625,1,0,1,"GlobColour","Espiritu Santo", , , , , 
"Espiritu Santo","3",0.0790000036358833,0.205482199788094,0.0904038920998573,0.0684623420238495,2.00139021873474,843275.9375,1,0,1,"GlobColour","Espiritu Santo", , , , , 
"Espiritu Santo","4",0.0780000016093254,0.188475281000137,0.0909908339381218,0.0733837708830833,1.56835103034973,1145926.625,1,0,1,"GlobColour","Espiritu Santo", , , , , 
"Espiritu Santo","5",0.108999997377396,0.18393075466156,0.11695285141468,0.0880215466022491,1.08961057662964,104027.9921875,1,1,1,"GlobColour","Espiritu Santo", , , , , 
"Espiritu Santo","6",0.119000002741814,0.158635407686234,0.12297397851944,0.0964475348591805,0.644784331321716,45898.52734375,1,1,1,"GlobColour","Espiritu Santo", , , , , 
"Espiritu Santo","7",0.115000002086163,0.140872597694397,0.119531124830246,0.0937221571803093,0.50308746099472,16205.5419921875,1,1,1,"GlobColour","Espiritu Santo", , , , , 
"Espiritu Santo","8",0.101999998092651,0.130521610379219,0.104792855679989,0.0787250250577927,0.6579430103302,36088.2734375,1,1,1,"GlobColour","Espiritu Santo", , , , , 
"Espiritu Santo","9",0.0860000029206276,0.106023155152798,0.0891057327389717,0.0664196312427521,0.596262335777283,8606.0595703125,1,1,1,"GlobColour","Espiritu Santo", , , , , 
"Espiritu Santo","10",0.0780000016093254,0.114756442606449,0.0801335945725441,0.0577596202492714,0.986793518066406,13657.8330078125,1,1,1,"GlobColour","Espiritu Santo", , , , , 
"Espiritu Santo","11",0.0759999975562096,0.118642240762711,0.0787472128868103,0.0541733093559742,1.19004964828491,61025.453125,1,1,1,"GlobColour","Espiritu Santo", , , , , 
"Espiritu Santo","12",0.0839999988675117,0.134700492024422,0.0894017219543457,0.0557097345590591,1.41789853572845,114416.9453125,1,0,1,"GlobColour","Espiritu Santo", , , , , 
