"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","dist"
"m_detectFull",0,0,-7101.91407624029,49.5815883078917,276.465794317767,6.63528288823744,14203.8281524806,99.1631766157833,"IME detect"
"m_detect",-227.591569559681,36.2234483337548,-7329.50564579996,33.105410789282,270.96001424591,3.14212264758687,14659.0112915999,66.2108215785641,"IME detect"
"m_detectTime",-361.006611624704,39.6425008150558,-7462.92068786501,27.6879307737536,206.479898264623,2.03521664173572,14925.84137573,55.3758615475072,"IME detect"
"m_hurdleFull",0,0,5713.9579997921,79.4333069389432,450.038775536206,20.9556415620507,-11427.9159995842,158.866613877886,"IME strength"
"m_hurdle",-491.529124467958,41.0078135705001,5222.42887532415,74.6751887878747,486.532271248056,17.2315845579061,-10444.8577506483,149.35037757575,"IME strength"
"m_hurdleTime",-793.654280524157,46.3305264054633,4920.30371926795,79.15358593029,460.567826049494,20.1162801764261,-9840.60743853589,158.30717186058,"IME strength"
