"group","response","mean_abs_shap","rel_R2","abs_R2"
"Geomorphic","Planktivore",0.988817484832877,0.351034405982541,0.27832162153293
"Oceanographic","Planktivore",0.697371718720543,0.24756992143142,0.362291588263204
"Fish_habitat","Planktivore",0.79410007300364,0.281908897944537,0.298658365137911
"Human","Planktivore",0.336578437777635,0.119486774641503,0.0607284250659556
"Geomorphic","Herbivore",0.625933576161041,0.438767288617485,0.409243681263445
"Oceanographic","Herbivore",0.49456645341078,0.346681485174689,0.452914277539597
"Fish_habitat","Herbivore",0.2759751318443,0.193453211230232,0.135727140460581
"Human","Herbivore",0.030097858950323,0.0210980149775942,0.00211490073637622
