"island","model","mld_slope","mld_slope_se","mld_slope_lower","mld_slope_upper","region","region.col"
"Agrihan","Anom",2.05072613802113,0.504736896073668,1.06144182171674,3.04001045432552,"Mariana","#01A74F"
"Agrihan","Obs",0.0435563381340179,0.0275399726948883,-0.0104220083479631,0.0975346846159989,"Mariana","#01A74F"
"Aguijan","Anom",1.88702504594286,1.14414431837774,-0.355497818077517,4.12954790996323,NA,NA
"Aguijan","Obs",0.0406338483679629,0.0275399373507277,-0.0133444288394635,0.0946121255753892,NA,NA
"Alamagan","Anom",1.87797894931526,0.68476205503951,0.535845321437824,3.2201125771927,"Mariana","#01A74F"
"Alamagan","Obs",0.045636691488048,0.0275399595217066,-0.0083416291744968,0.0996150121505929,"Mariana","#01A74F"
"Asuncion","Anom",1.10766810809179,0.504937617612112,0.117990377572046,2.09734583861152,"Mariana","#01A74F"
"Asuncion","Obs",0.0243874435006034,0.0275399672743882,-0.0295908923571974,0.0783657793584042,"Mariana","#01A74F"
"Baker","Anom",0.684336062786903,0.504804065370123,-0.305079905338537,1.67375203091234,"Equatorial","#FEB913"
"Baker","Obs",0.0284161382547169,0.0275399328722303,-0.0255621301748544,0.0823944066842883,"Equatorial","#FEB913"
"Farallon de Pajaros","Anom",0.921062422908924,0.50475950844225,-0.0682662136378847,1.91039105945573,"Mariana","#01A74F"
"Farallon de Pajaros","Obs",0.0197913822125049,0.0275399691461078,-0.0341869573138664,0.0737697217388762,"Mariana","#01A74F"
"French Frigate","Anom",0.676112420969662,0.504775213560469,-0.313246997608857,1.66547183954818,"Northwestern Hawaiian","#349BEB"
"French Frigate","Obs",0.0149410863757453,0.0275399082555115,-0.0390371338050573,0.068919306556548,"Northwestern Hawaiian","#349BEB"
"Guam","Anom",1.23610833834738,0.504804311314995,0.246691888169994,2.22552478852477,"Mariana","#01A74F"
"Guam","Obs",0.0333860950694177,0.0275399198611424,-0.0205921478584215,0.0873643379972569,"Mariana","#01A74F"
"Guguan","Anom",1.82925257620455,0.810976153309701,0.239739315717532,3.41876583669156,"Mariana","#01A74F"
"Guguan","Obs",0.044577300347007,0.0275399602542291,-0.00940102175128206,0.0985556224452961,"Mariana","#01A74F"
"Hawaii","Anom",-0.754519780976644,0.504737784458298,-1.74380583851491,0.23476627656162,"Hawaii","#F05826"
"Hawaii","Obs",-0.0133699537829747,0.0275398473789249,-0.0673480546456676,0.0406081470797182,"Hawaii","#F05826"
"Howland","Anom",0.716552638594527,0.505169621796235,-0.273579820126094,1.70668509731515,"Equatorial","#FEB913"
"Howland","Obs",0.0296870204994709,0.0275399053685715,-0.0242911940229293,0.083665235021871,"Equatorial","#FEB913"
