"island","change","change_lower","change_upper"
"Agrihan",7.07733588660851,3.57937546835511,10.5752963048619
"Aguijan",6.50312311673887,1.78668746967577,11.219558763802
"Alamagan",6.48041898297721,2.66639038609826,10.2944475798562
"Asuncion",3.82271415093354,0.324431989286006,7.32099631258108
"Baker",2.36173569621589,-1.13633238091808,5.85980377334987
"Farallon de Pajaros",3.17871275190892,-0.319283908406359,6.6767094122242
"French Frigate",2.33335562726977,-1.16466620509251,5.83137745963204
"Guam",4.26597771490058,0.767909243551886,7.76404618624927
"Guguan",6.31099783434373,2.25290660585706,10.3690890628304
"Hawaii",-2.60395090194979,-6.1019127440449,0.894010940145327
"Howland",2.47291548227418,-1.02573866830057,5.97156963284893
"Jarvis",0.272122593629005,-3.22597556172206,3.77022074898007
"Johnston",4.57927057437118,1.08126877406806,8.0772723746743
"Kauai",0.486300634575834,-3.01171262526684,3.98431389441851
"Kingman",5.38894657524654,-2.02223608875056,12.8001292392436
"Kure",8.66941999752429,5.17138055857352,12.1674594364751
"Lanai",-2.7345653829039,-6.23263529531936,0.763504529511551
"Laysan",5.49597261222142,1.99795321478304,8.9939920096598
"Lisianski",3.171567819415,-0.326510471675792,6.6696461105058
"Maug",3.13464419165584,-0.363483692963688,6.63277207627537
"Maui",0.817979943787454,-2.94641590210797,4.58237578968288
"Midway",6.43656412718432,2.93850457070606,9.93462368366258
"Molokai",0.334836094479992,-3.1633067729804,3.83297896194039
"Necker",4.15917802640715,0.661137195751015,7.6572188570633
"Nihoa",4.78797360054725,1.28998517502023,8.28596202607427
"Niihau",-0.199268717317652,-3.69724764963665,3.29871021500134
"Oahu",0.984867726740369,-2.51349192624661,4.48322737972735
"Ofu & Olosega",5.84587720179004,2.34767479256306,9.34407961101703
"Pagan",7.04202469417716,3.29005518385688,10.7939942044974
"Palmyra",7.33817985036377,-0.955762843339481,15.632122544067
"Pearl & Hermes",4.10435863913791,0.606357464881096,7.60235981339472
"Rose",6.52346459687232,3.02540261239798,10.0215265813467
"Rota",6.10843158248336,2.61033024302926,9.60653292193747
"Saipan",5.79473683600946,0.769929593469885,10.819544078549
"Sarigan",5.5388577627713,0.919212171333684,10.1585033542089
"Swains",6.50703914704406,2.0126235108105,11.0014547832776
"Tau",5.8769619940973,2.37870086476642,9.37522312342819
"Tinian",6.10667915434245,1.19646347086183,11.0168948378231
"Tutuila",4.42751497352374,0.929373293617036,7.92565665343045
"Wake",6.45310632011905,2.95504879211276,9.95116384812535
