"island","lon","lat","type","island_area_km2","reef_area_km2","month","chl_ime","Chl_REF","Chl_increase_nearby","Chl_max","PP_IME","PP_REF","Shannon_REF","area_IME","cChl","has_IME","keep_IME","richness_IME","richness_REF","has_IME_above10pct","total_chl_increase_tC_per_m","total_chl_ime_tC_per_m"
"New Britain",150.73,-5.77,"Island",44767,48967.2,"Jan",0.222828805446625,0.152126222848892,230.705618858337,0.503089964389801,0.35333713889122,0.296903997659683,2.66586089134216,12484.8193359375,0.181999996304512,1,1,43.3483734130859,31.4784488677979,1,0.882708970316889,2.78197737884388
"New Britain",150.73,-5.77,"Island",44767,48967.2,"Feb",0.258076101541519,0.174287289381027,223.821687698364,0.564380049705505,0.379086345434189,0.313902020454407,3.03077697753906,6389.619140625,0.209000006318092,1,1,41.6418838500977,39.1576881408691,1,0.535378597950912,1.64900799814757
"New Britain",150.73,-5.77,"Island",44767,48967.2,"Mar",0.26084777712822,0.177335783839226,223.473215103149,0.573633790016174,0.379317134618759,0.311447411775589,3.02936410903931,5533.11572265625,0.226999998092651,1,1,49.1185073852539,41.0266380310059,1,0.462081523097695,1.44330093684809
"New Britain",150.73,-5.77,"Island",44767,48967.2,"Apr",0.220708072185516,0.163385853171349,152.503347396851,0.412554740905762,0.340451866388321,0.293806225061417,2.88283920288086,6234.47216796875,0.193000003695488,1,1,42.6904830932617,39.9831275939941,1,0.357373779050038,1.37599833328664
"New Britain",150.73,-5.77,"Island",44767,48967.2,"May",0.21694315969944,0.155556991696358,148.419785499573,0.386434346437454,0.340327203273773,0.282229840755463,2.72289538383484,13418.38671875,0.195999994874001,1,1,44.7750244140625,42.022159576416,1,0.823703341447515,2.91102721283463
"New Britain",150.73,-5.77,"Island",44767,48967.2,"Jun",0.26593679189682,0.177689328789711,139.398860931396,0.425386220216751,0.37971156835556,0.306563198566437,2.61276698112488,7049.3271484375,0.226999998092651,1,1,42.140567779541,41.6766052246094,1,0.622085237461681,1.87467544688663
"New Britain",150.73,-5.77,"Island",44767,48967.2,"Jul",0.287372887134552,0.177499353885651,317.369556427002,0.740828275680542,0.396951854228973,0.306264340877533,2.66573357582092,21149.716796875,0.24099999666214,1,1,45.2079582214355,42.7755508422852,1,2.32379411168629,6.0778551779961
"New Britain",150.73,-5.77,"Island",44767,48967.2,"Aug",0.25306361913681,0.160800382494926,495.098543167114,0.956920742988586,0.371535807847977,0.302706480026245,2.74681234359741,25517.962890625,0.211999997496605,1,1,47.9675598144531,43.2597312927246,1,2.35436984879654,6.45766804210038
"New Britain",150.73,-5.77,"Island",44767,48967.2,"Sep",0.189705938100815,0.134956896305084,257.420372962952,0.482363432645798,0.319135099649429,0.267787486314774,2.53051447868347,36725.40234375,0.159999996423721,1,1,47.2194633483887,38.5414505004883,1,2.01068058788299,6.96702690375096
"New Britain",150.73,-5.77,"Island",44767,48967.2,"Oct",0.218123599886894,0.179173842072487,85.3754818439484,0.332144379615784,0.35087639093399,0.317365348339081,2.97368907928467,2742.04125976562,0.207000002264977,1,1,47.2292861938477,43.3550987243652,1,0.106801842984984,0.598103910618473
"New Britain",150.73,-5.77,"Island",44767,48967.2,"Nov",0.235518038272858,0.185805842280388,72.9881405830383,0.321422070264816,0.355896413326263,0.339400291442871,2.72341299057007,1478.42102050781,0.230000004172325,1,1,NA,NA,1,0.0734955555308716,0.348194818491356
"New Britain",150.73,-5.77,"Island",44767,48967.2,"Dec",0.186466172337532,0.142449051141739,124.487388134003,0.319780170917511,0.319158852100372,0.276804268360138,2.62134122848511,6471.13671875,0.172000005841255,1,1,44.4667663574219,36.7702484130859,1,0.284840809223766,1.20664809461817
"New Caledonia (La Grande Terre)",165.54,-21.43,"Island",19507.7,30521.4,"Jan",NA,0.0645812749862671,250.390315055847,0.22628653049469,0.239723190665245,0.212635859847069,1.79413139820099,NA,NA,NA,NA,28.9518260955811,18.0939121246338,NA,NA,NA
"New Caledonia (La Grande Terre)",165.54,-21.43,"Island",19507.7,30521.4,"Feb",NA,0.067821092903614,252.536725997925,0.239094257354736,0.233352303504944,0.202367722988129,1.75943088531494,NA,NA,NA,NA,31.0736560821533,18.2209911346436,NA,NA,NA
"New Caledonia (La Grande Terre)",165.54,-21.43,"Island",19507.7,30521.4,"Mar",NA,0.0745294019579887,276.981377601624,0.280961960554123,0.232839047908783,0.205393970012665,1.71248126029968,NA,NA,NA,NA,25.4144554138184,16.1591644287109,NA,NA,NA
"New Caledonia (La Grande Terre)",165.54,-21.43,"Island",19507.7,30521.4,"Apr",0.109511733055115,0.0854783803224564,286.396384239197,0.330285370349884,0.251936763525009,0.221209287643433,1.64274597167969,1200467.625,0.0939999967813492,1,1,26.1532230377197,15.9764022827148,1,28.8512618757617,131.465290090308
"New Caledonia (La Grande Terre)",165.54,-21.43,"Island",19507.7,30521.4,"May",0.130572855472565,0.107663542032242,239.269948005676,0.365270048379898,0.289425194263458,0.254118591547012,1.74430286884308,744993.5625,0.116999998688698,1,1,22.6257820129395,18.6509685516357,1,17.0672910343353,97.2759367643036
"New Caledonia (La Grande Terre)",165.54,-21.43,"Island",19507.7,30521.4,"Jun",NA,0.141576036810875,146.059012413025,0.348360627889633,0.361288100481033,0.32018056511879,1.68890392780304,NA,NA,NA,NA,27.6948833465576,20.9433403015137,NA,NA,NA
