"island","REGION","time","mean","sd","median","n_cells","na_cells"
"Agrihan","MARIAN",1993-01-01,54.6428375244141,2.28160025188745,54.31667137146,6,0
"Agrihan","MARIAN",1993-02-01,61.8906555175781,3.67594843743945,61.9944705963135,6,0
"Agrihan","MARIAN",1993-03-01,32.6552451451619,2.76557701592848,32.1302051544189,6,0
"Agrihan","MARIAN",1993-04-01,15.9822870890299,0.925020744838712,15.9645042419434,6,0
"Agrihan","MARIAN",1993-05-01,12.6968614260356,0.516631651839019,12.6880650520325,6,0
"Agrihan","MARIAN",1993-06-01,12.4059732755025,0.269646892868875,12.4596190452576,6,0
"Agrihan","MARIAN",1993-07-01,24.7073771158854,1.49485212693934,24.9105567932129,6,0
"Agrihan","MARIAN",1993-08-01,18.8377221425374,1.02641926953856,18.7110414505005,6,0
"Agrihan","MARIAN",1993-09-01,18.868265469869,0.589466219064584,18.8201541900635,6,0
"Agrihan","MARIAN",1993-10-01,32.1811920801798,0.768523258093504,32.2255859375,6,0
"Agrihan","MARIAN",1993-11-01,34.2507820129395,0.564962878520831,34.1502265930176,6,0
"Agrihan","MARIAN",1993-12-01,50.9002119700114,1.08587367381216,51.0711288452148,6,0
"Agrihan","MARIAN",1994-01-01,40.4241180419922,5.25635571409692,40.9431037902832,6,0
"Agrihan","MARIAN",1994-02-01,37.7035681406657,5.11400280853575,36.0848522186279,6,0
"Agrihan","MARIAN",1994-03-01,23.3384943008423,1.2011606993659,22.8673486709595,6,0
"Agrihan","MARIAN",1994-04-01,16.1532519658407,0.296095749004094,16.0358109474182,6,0
"Agrihan","MARIAN",1994-05-01,13.1541956265767,0.52218897836051,13.1030745506287,6,0
"Agrihan","MARIAN",1994-06-01,14.5360050201416,0.67146930729366,14.692645072937,6,0
"Agrihan","MARIAN",1994-07-01,14.4931254386902,0.448661180457214,14.4109182357788,6,0
"Agrihan","MARIAN",1994-08-01,21.0817702611287,0.632354518129715,21.0071449279785,6,0
"Agrihan","MARIAN",1994-09-01,21.5933504104614,0.260090840217533,21.6106739044189,6,0
"Agrihan","MARIAN",1994-10-01,25.4279047648112,0.534162055084017,25.477014541626,6,0
"Agrihan","MARIAN",1994-11-01,38.1607265472412,0.41628631809678,38.1258411407471,6,0
"Agrihan","MARIAN",1994-12-01,51.4053389231364,1.19950255471514,51.2051868438721,6,0
"Agrihan","MARIAN",1995-01-01,47.8010749816895,3.20143571747721,47.6756725311279,6,0
"Agrihan","MARIAN",1995-02-01,53.0435854593913,1.75841996165496,53.5711135864258,6,0
"Agrihan","MARIAN",1995-03-01,34.9912363688151,1.75327598300065,35.1634521484375,6,0
"Agrihan","MARIAN",1995-04-01,16.4355376561483,0.688431462478188,16.4763059616089,6,0
"Agrihan","MARIAN",1995-05-01,13.0154579480489,0.334003954699705,13.0827236175537,6,0
"Agrihan","MARIAN",1995-06-01,14.2882963816325,0.557523063308393,14.3749284744263,6,0
"Agrihan","MARIAN",1995-07-01,16.0757643381755,0.443122842659779,16.0837688446045,6,0
"Agrihan","MARIAN",1995-08-01,14.3966301282247,1.03232001913618,14.1906833648682,6,0
"Agrihan","MARIAN",1995-09-01,22.5629485448201,0.655751396260943,22.893292427063,6,0
"Agrihan","MARIAN",1995-10-01,22.7105951309204,1.16088210440027,22.8231182098389,6,0
"Agrihan","MARIAN",1995-11-01,24.6917994817098,0.884172790534513,24.6756496429443,6,0
"Agrihan","MARIAN",1995-12-01,45.0461877187093,1.99623317854919,45.2808456420898,6,0
"Agrihan","MARIAN",1996-01-01,41.4232546488444,4.88120698931233,40.025541305542,6,0
"Agrihan","MARIAN",1996-02-01,44.0732777913411,1.68739532561924,43.9860172271729,6,0
"Agrihan","MARIAN",1996-03-01,29.5642493565877,3.02916319807543,29.1489953994751,6,0
"Agrihan","MARIAN",1996-04-01,14.5516475041707,0.336270830526273,14.6341347694397,6,0
"Agrihan","MARIAN",1996-05-01,11.9520637194316,0.143660756519738,11.9895901679993,6,0
"Agrihan","MARIAN",1996-06-01,14.8529855410258,0.281302618982163,14.8749032020569,6,0
"Agrihan","MARIAN",1996-07-01,21.6022135416667,0.458177682231806,21.5383110046387,6,0
"Agrihan","MARIAN",1996-08-01,14.2295684814453,0.513396718652666,14.1380677223206,6,0
"Agrihan","MARIAN",1996-09-01,19.4876267115275,0.5733700730142,19.4710083007812,6,0
"Agrihan","MARIAN",1996-10-01,33.4296277364095,0.744550408985083,33.638843536377,6,0
"Agrihan","MARIAN",1996-11-01,44.0025984446208,1.36826244322641,43.8341579437256,6,0
"Agrihan","MARIAN",1996-12-01,49.3601964314779,2.79983782100276,49.2854194641113,6,0
"Agrihan","MARIAN",1997-01-01,53.9236227671305,2.72715188978622,54.8461666107178,6,0
"Agrihan","MARIAN",1997-02-01,50.6565424601237,6.68857339048735,51.9349842071533,6,0
"Agrihan","MARIAN",1997-03-01,54.9494692484538,4.35390351623651,54.3801898956299,6,0
"Agrihan","MARIAN",1997-04-01,18.8826338450114,0.367487177827224,19.0721530914307,6,0
"Agrihan","MARIAN",1997-05-01,15.32133213679,0.323836099696253,15.3326034545898,6,0
"Agrihan","MARIAN",1997-06-01,14.7873670260111,0.442069886492243,14.7940964698792,6,0
"Agrihan","MARIAN",1997-07-01,17.6210778554281,0.406058695527517,17.6633157730103,6,0
"Agrihan","MARIAN",1997-08-01,17.5474913914998,0.420154521005401,17.6401567459106,6,0
