"island","REGION","mean","sd","median","n_cells","na_cells","time"
"Hawaii","MHI",46.7539097468058,5.80197580214387,46.4394435882568,24,1,1993-02-01
"Maui","MHI",39.8406397104263,8.22707582972496,39.6612205505371,16,1,1993-02-01
"Oahu","MHI",33.9603043964931,3.7147239871194,33.2187061309814,14,1,1993-02-01
"Kauai","MHI",47.7302169799805,6.3877054813526,45.7997913360596,12,0,1993-02-01
"Molokai","MHI",33.4685611724854,4.73511102019328,32.8636856079102,11,1,1993-02-01
"Guam","MARIAN",41.9048030853271,2.34090485452145,42.3378620147705,10,1,1993-02-01
"Lanai","MHI",35.5059678213937,5.75563167757677,37.0231094360352,7,1,1993-02-01
"Niihau","MHI",47.9340395927429,6.63798706068303,46.9317855834961,8,0,1993-02-01
"Tutuila","SAMOA",17.5428927739461,1.15580910343247,17.2471084594727,6,0,1993-02-01
"Saipan","MARIAN",43.0516654968262,4.42634994272454,41.1841316223145,5,0,1993-02-01
"Tinian","MARIAN",40.4834131513323,2.78822362130167,40.7194175720215,7,0,1993-02-01
"Jarvis","PRIAs",17.5405445098877,0.381672074701885,17.5067367553711,4,0,1993-02-01
"Rota","MARIAN",40.7535270690918,1.25163850250698,41.2597465515137,5,0,1993-02-01
"Aguijan","MARIAN",39.5216153462728,1.65656594268689,39.4520587921143,6,0,1993-02-01
"Sarigan","MARIAN",54.9027872085571,1.6110303295715,55.5254859924316,4,0,1993-02-01
"Guguan","MARIAN",51.3740177154541,1.21038089520605,51.1467628479004,4,0,1993-02-01
"Pagan","MARIAN",58.8490104675293,4.12380448415324,58.2986698150635,4,0,1993-02-01
"Agrihan","MARIAN",61.8866647084554,3.66512297964401,61.9844932556152,6,0,1993-02-01
"Asuncion","MARIAN",69.3974266052246,1.75463333043814,69.2543334960938,4,0,1993-02-01
"Farallon de Pajaros","MARIAN",49.481351852417,5.21342617401189,49.1426048278809,4,0,1993-02-01
"Tau","SAMOA",20.4721641540527,0.689500636751723,20.4560279846191,6,0,1993-02-01
