species,trophic_guild,genus,subfamily,family,order,class,superclass,diet,position
gonioplectrus_hispanus,macrocarnivores,gonioplectrus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
gracila_albomarginata,macrocarnivores,gracila,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
hyporthodus_acanthistius,macrocarnivores,hyporthodus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
hyporthodus_cifuentesi,macrocarnivores,hyporthodus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthAs
hyporthodus_ergastularius,macrocarnivores,hyporthodus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthAs
hyporthodus_exsul,macrocarnivores,hyporthodus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
hyporthodus_flavolimbatus,macrocarnivores,hyporthodus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthAs
hyporthodus_mystacinus,macrocarnivores,hyporthodus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
hyporthodus_nigritus,macrocarnivores,hyporthodus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
hyporthodus_niphobles,macrocarnivores,hyporthodus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
hyporthodus_niveatus,macrocarnivores,hyporthodus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
hyporthodus_octofasciatus,macrocarnivores,hyporthodus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
hyporthodus_quernus,macrocarnivores,hyporthodus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BtPlDw
hyporthodus_septemfasciatus,macrocarnivores,hyporthodus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
mycteroperca_acutirostris,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
mycteroperca_bonaci,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
mycteroperca_cidi,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
mycteroperca_fusca,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
mycteroperca_interstitialis,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
mycteroperca_jordani,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
mycteroperca_microlepis,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthAs
mycteroperca_olfax,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
mycteroperca_phenax,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
mycteroperca_prionura,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthAs
mycteroperca_rosacea,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
mycteroperca_rubra,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
mycteroperca_tigris,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
mycteroperca_venenosa,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
mycteroperca_xenarcha,macrocarnivores,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
cephalopholis_colonus,planktivores,cephalopholis,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,PelgDw
paranthias_furcifer,planktivores,paranthias,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,PelgDw
plectropomus_areolatus,macrocarnivores,plectropomus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
plectropomus_laevis,macrocarnivores,plectropomus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
plectropomus_leopardus,macrocarnivores,plectropomus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
plectropomus_maculatus,macrocarnivores,plectropomus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
plectropomus_oligacanthus,macrocarnivores,plectropomus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
plectropomus_pessuliferus,macrocarnivores,plectropomus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthAs
plectropomus_punctatus,macrocarnivores,plectropomus,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthAs
triso_dermopterus,macrocarnivores,triso,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthAs
variola_albimarginata,macrocarnivores,variola,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
variola_louti,macrocarnivores,variola,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,FisCep,BnthDw
fistularia_commersonii,macrocarnivores,fistularia,NA,fistulariidae,syngnathiformes,teleostei,osteichthyes,FisCep,PelgAs
fistularia_petimba,macrocarnivores,fistularia,NA,fistulariidae,syngnathiformes,teleostei,osteichthyes,FisCep,PelgAs
fistularia_tabacaria,macrocarnivores,fistularia,NA,fistulariidae,syngnathiformes,teleostei,osteichthyes,FisCep,PelgAs
diapterus_auratus,macrocarnivores,diapterus,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,FisCep,BnthDw
diapterus_rhombeus,macrocarnivores,diapterus,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BnthDw
eucinostomus_argenteus,invertivores-benthic,eucinostomus,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BnthDw
eucinostomus_dowii,invertivores-benthic,eucinostomus,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BnthDw
eucinostomus_gula,invertivores-benthic,eucinostomus,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BnthDw
eucinostomus_jonesii,invertivores-benthic,eucinostomus,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BtPlDw
eucinostomus_melanopterus,invertivores-benthic,eucinostomus,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BnthDw
gerres_cinereus,invertivores-benthic,gerres,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BtPlAs
gerres_erythrourus,macrocarnivores,gerres,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BtPlAs
gerres_filamentosus,macrocarnivores,gerres,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BnthDw
gerres_longirostris,macrocarnivores,gerres,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,FisCep,BtPlAs
gerres_nigri,invertivores-benthic,gerres,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BtPlDw
gerres_oblongus,macrocarnivores,gerres,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BnthDw
gerres_oyena,macrocarnivores,gerres,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BnthDw
gerres_subfasciatus,invertivores-benthic,gerres,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BnthAs
ulaema_lefroyi,invertivores-benthic,ulaema,NA,gerreidae,eupercaria/misc,teleostei,osteichthyes,InvMob,BtPlAs
girella_cyanea,herbivores-detritivores,girella,NA,girellidae,centrarchiformes,teleostei,osteichthyes,HerMac,BnthDw
girella_elevata,herbivores-detritivores,girella,NA,girellidae,centrarchiformes,teleostei,osteichthyes,HerMac,BnthDw
girella_freminvillii,herbivores-detritivores,girella,NA,girellidae,centrarchiformes,teleostei,osteichthyes,HerMac,BnthDw
girella_stuebeli,herbivores-detritivores,girella,NA,girellidae,centrarchiformes,teleostei,osteichthyes,HerMac,BnthDw
girella_tricuspidata,herbivores-detritivores,girella,NA,girellidae,centrarchiformes,teleostei,osteichthyes,HerMac,BnthDw
glaucosoma_hebraicum,macrocarnivores,glaucosoma,NA,glaucosomatidae,acropomatiformes,teleostei,osteichthyes,FisCep,BtPlDw
glaucosoma_magnificum,macrocarnivores,glaucosoma,NA,glaucosomatidae,acropomatiformes,teleostei,osteichthyes,FisCep,BtPlAs
glaucosoma_scapulare,macrocarnivores,glaucosoma,NA,glaucosomatidae,acropomatiformes,teleostei,osteichthyes,FisCep,BtPlDw
cochleoceps_orientalis,invertivores-benthic,cochleoceps,cheilobranchinae,gobiesocidae,gobiesociformes,teleostei,osteichthyes,InvMob,BnthDw
diademichthys_lineatus,invertivores-benthic,diademichthys,diademichthyinae,gobiesocidae,gobiesociformes,teleostei,osteichthyes,InvMob,BnthDw
lepadichthys_coccinotaenia,invertivores-benthic,lepadichthys,diademichthyinae,gobiesocidae,gobiesociformes,teleostei,osteichthyes,InvMob,BnthDw
acentrogobius_gracilis,invertivores-benthic,acentrogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
acentrogobius_janthinopterus,invertivores-benthic,acentrogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
acentrogobius_madraspatensis,invertivores-benthic,acentrogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
acentrogobius_nebulosus,invertivores-benthic,acentrogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
acentrogobius_signatus,invertivores-benthic,acentrogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblychaeturichthys_hexanema,invertivores-benthic,amblychaeturichthys,gobionellinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
amblyeleotris_arcupinna,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_aurora,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
amblyeleotris_bellicauda,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
amblyeleotris_biguttata,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
amblyeleotris_delicatulus,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthAs
amblyeleotris_diagonalis,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Plktiv,BnthDw
amblyeleotris_downingi,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
amblyeleotris_ellipse,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_fasciata,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_fontanesii,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_guttata,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_gymnocephala,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
amblyeleotris_harrisorum,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_japonica,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthAs
amblyeleotris_latifasciata,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_macronema,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthAs
amblyeleotris_marquesas,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthDw
amblyeleotris_masuii,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_neglecta,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthAs
amblyeleotris_neumanni,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthAs
amblyeleotris_novaecaledoniae,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
amblyeleotris_ogasawarensis,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_periophthalma,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_randalli,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
amblyeleotris_rhyax,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
amblyeleotris_rubrimarginata,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_steinitzi,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthAs
amblyeleotris_stenotaeniata,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_sungami,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthAs
amblyeleotris_triguttata,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
amblyeleotris_wheeleri,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblyeleotris_yanoi,invertivores-benthic,amblyeleotris,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
amblygobius_albimaculatus,herbivores-detritivores,amblygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthDw
amblygobius_buanensis,herbivores-detritivores,amblygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthDw
amblygobius_bynoensis,herbivores-detritivores,amblygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthAs
amblygobius_decussatus,herbivores-detritivores,amblygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthAs
amblygobius_esakiae,herbivores-detritivores,amblygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthAs
amblygobius_linki,herbivores-detritivores,amblygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthAs
amblygobius_nocturnus,herbivores-detritivores,amblygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthAs
amblygobius_phalaena,herbivores-detritivores,amblygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthAs
amblygobius_semicinctus,herbivores-detritivores,amblygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthAs
amblygobius_sphynx,herbivores-detritivores,amblygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthAs
amblygobius_stethophthalmus,herbivores-detritivores,amblygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthAs
amblygobius_tekomaji,herbivores-detritivores,amblygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthDw
arcygobius_baliurus,invertivores-benthic,arcygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
arenigobius_leftwichi,invertivores-benthic,arenigobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthAs
aruma_histrio,invertivores-benthic,aruma,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
asterropteryx_atripes,herbivores-detritivores,asterropteryx,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthAs
asterropteryx_bipunctata,herbivores-detritivores,asterropteryx,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthAs
asterropteryx_semipunctata,herbivores-detritivores,asterropteryx,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthDw
asterropteryx_spinosa,herbivores-detritivores,asterropteryx,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthAs
asterropteryx_striata,herbivores-detritivores,asterropteryx,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthDw
aulopareia_atripinnata,invertivores-benthic,aulopareia,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
aulopareia_janetae,invertivores-benthic,aulopareia,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
austrolethops_wardi,invertivores-benthic,austrolethops,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
barbulifer_mexicanus,invertivores-benthic,barbulifer,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
barbulifer_pantherinus,invertivores-benthic,barbulifer,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Plktiv,BnthDw
bathygobius_aeolosoma,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthDw
bathygobius_andrei,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
bathygobius_burtoni,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
bathygobius_casamancus,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
bathygobius_coalitus,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
bathygobius_cocosensis,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthDw
bathygobius_cotticeps,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
bathygobius_curacao,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
bathygobius_cyclopterus,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
bathygobius_fuscus,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
bathygobius_karachiensis,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
bathygobius_krefftii,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
bathygobius_laddi,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
bathygobius_lineatus,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
bathygobius_meggitti,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
bathygobius_mystacium,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
bathygobius_niger,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
bathygobius_panayensis,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BtPlDw
bathygobius_petrophilus,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
bathygobius_ramosus,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthAs
bathygobius_soporator,invertivores-benthic,bathygobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthAs
bollmannia_boqueronensis,invertivores-benthic,bollmannia,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
bollmannia_chlamydes,invertivores-benthic,bollmannia,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,HerDet,BnthDw
bollmannia_communis,invertivores-benthic,bollmannia,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
bryaninops_amplus,invertivores-benthic,bryaninops,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthAs
bryaninops_dianneae,invertivores-benthic,bryaninops,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
bryaninops_erythrops,invertivores-benthic,bryaninops,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
bryaninops_loki,invertivores-benthic,bryaninops,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Plktiv,BnthDw
bryaninops_natans,invertivores-pelagic,bryaninops,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
bryaninops_nexus,invertivores-benthic,bryaninops,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
bryaninops_yongei,invertivores-benthic,bryaninops,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Plktiv,BnthDw
cabillus_atripelvicus,invertivores-benthic,cabillus,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthAs
cabillus_lacertops,invertivores-benthic,cabillus,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
cabillus_tongarevae,invertivores-benthic,cabillus,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthAs
caffrogobius_caffer,invertivores-benthic,caffrogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
caffrogobius_gilchristi,invertivores-benthic,caffrogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
caffrogobius_nudiceps,invertivores-benthic,caffrogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Plktiv,BnthAs
callogobius_amikami,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthAs
callogobius_bauchotae,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
callogobius_bifasciatus,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
callogobius_centrolepis,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthAs
callogobius_clitellus,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
callogobius_crassus,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
callogobius_depressus,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
callogobius_flavobrunneus,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
callogobius_hasseltii,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthAs
callogobius_hastatus,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
gobiopsis_liolepis,invertivores-benthic,gobiopsis,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
callogobius_maculipinnis,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthAs
callogobius_mucosus,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
callogobius_okinawae,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthAs
callogobius_plumatus,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
callogobius_producta,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
callogobius_sclateri,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
callogobius_snelliusi,invertivores-benthic,callogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
chriolepis_cuneata,invertivores-benthic,chriolepis,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
chriolepis_dialepta,invertivores-benthic,chriolepis,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
chriolepis_lepidota,invertivores-benthic,chriolepis,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
chriolepis_minutilla,invertivores-benthic,chriolepis,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
chriolepis_zebra,invertivores-benthic,chriolepis,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
chromogobius_britoi,invertivores-benthic,chromogobius,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
clariger_exilis,invertivores-benthic,clariger,gobionellinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
clariger_papillosus,invertivores-benthic,clariger,gobionellinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
clevelandia_ios,invertivores-benthic,clevelandia,gobionellinae,gobiidae,gobiiformes,teleostei,osteichthyes,Omnivr,BnthDw
coryogalops_bulejiensis,invertivores-benthic,coryogalops,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
coryogalops_monospilus,invertivores-benthic,coryogalops,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
coryogalops_tessellatus,invertivores-benthic,coryogalops,gobiinae,gobiidae,gobiiformes,teleostei,osteichthyes,InvMob,BnthDw
