species,trophic_guild,genus,subfamily,family,order,class,superclass,diet,position
caprodon_krasyukovae,macrocarnivores,caprodon,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
caprodon_longimanus,macrocarnivores,caprodon,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BtPlDw
caprodon_schlegelii,macrocarnivores,caprodon,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
choranthias_tenuis,planktivores,choranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
epinephelides_armatus,macrocarnivores,epinephelides,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
giganthias_immaculatus,macrocarnivores,giganthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
hemanthias_peruanus,macrocarnivores,hemanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
hemanthias_signifer,macrocarnivores,hemanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
holanthias_caudalis,invertivores-benthic,holanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
holanthias_fronticinctus,invertivores-benthic,holanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
hypoplectrodes_annulatus,invertivores-benthic,hypoplectrodes,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
hypoplectrodes_cardinalis,invertivores-benthic,hypoplectrodes,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
hypoplectrodes_jamesoni,invertivores-benthic,hypoplectrodes,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
hypoplectrodes_maccullochi,macrocarnivores,hypoplectrodes,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
hypoplectrodes_nigroruber,macrocarnivores,hypoplectrodes,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
hypoplectrodes_semicinctum,invertivores-benthic,hypoplectrodes,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
hypoplectrodes_wilsoni,invertivores-benthic,hypoplectrodes,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
lepidoperca_occidentalis,invertivores-benthic,lepidoperca,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
luzonichthys_earlei,planktivores,luzonichthys,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
luzonichthys_microlepis,planktivores,luzonichthys,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
luzonichthys_taeniatus,planktivores,luzonichthys,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
luzonichthys_waitei,planktivores,luzonichthys,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
luzonichthys_whitleyi,planktivores,luzonichthys,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
luzonichthys_williamsi,planktivores,luzonichthys,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
mirolabrichthys_evansi,planktivores,mirolabrichthys,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
mirolabrichthys_pascalus,planktivores,mirolabrichthys,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BnthDw
mirolabrichthys_tuka,planktivores,mirolabrichthys,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
nemanthias_bartlettorum,planktivores,nemanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
nemanthias_bicolor,planktivores,nemanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
nemanthias_carberryi,planktivores,nemanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
nemanthias_dispar,planktivores,nemanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
nemanthias_regalis,planktivores,nemanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
odontanthias_borbonius,planktivores,odontanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
odontanthias_fuscipinnis,planktivores,odontanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
